Track Name,Race Number,Race URL,Race Start
KALGOORLIE (WA),5,https://swiftbet.com.au//racing/gallops/kalgoorlie/race-5-1903099-1083031,18h 57m
KALGOORLIE (WA),6,https://swiftbet.com.au//racing/gallops/kalgoorlie/race-6-1903100-1083031,19h 39m
PIONEER PARK (NT),1,https://swiftbet.com.au//racing/gallops/pioneer-park/race-1-1903066-1083028,15h 18m
PIONEER PARK (NT),2,https://swiftbet.com.au//racing/gallops/pioneer-park/race-2-1903070-1083028,15h 58m
PIONEER PARK (NT),3,https://swiftbet.com.au//racing/gallops/pioneer-park/race-3-1903074-1083028,16h 39m
PIONEER PARK (NT),4,https://swiftbet.com.au//racing/gallops/pioneer-park/race-4-1903078-1083028,17h 18m
PIONEER PARK (NT),5,https://swiftbet.com.au//racing/gallops/pioneer-park/race-5-1903080-1083028,18h 1m
PIONEER PARK (NT),6,https://swiftbet.com.au//racing/gallops/pioneer-park/race-6-1903084-1083028,18h 39m
TAURANGA (NZL),1,https://swiftbet.com.au//racing/gallops/tauranga/race-1-1902832-1083008,10h 16m
TAURANGA (NZL),2,https://swiftbet.com.au//racing/gallops/tauranga/race-2-1902838-1083008,10h 54m
TAURANGA (NZL),3,https://swiftbet.com.au//racing/gallops/tauranga/race-3-1902862-1083008,11h 25m
TAURANGA (NZL),4,https://swiftbet.com.au//racing/gallops/tauranga/race-4-1902883-1083008,11h 56m
TAURANGA (NZL),5,https://swiftbet.com.au//racing/gallops/tauranga/race-5-1902900-1083008,12h 32m
TAURANGA (NZL),6,https://swiftbet.com.au//racing/gallops/tauranga/race-6-1902913-1083008,13h 12m
TAURANGA (NZL),7,https://swiftbet.com.au//racing/gallops/tauranga/race-7-1902927-1083008,13h 52m
TAURANGA (NZL),8,https://swiftbet.com.au//racing/gallops/tauranga/race-8-1902935-1083008,14h 31m
TAURANGA (NZL),9,https://swiftbet.com.au//racing/gallops/tauranga/race-9-1902938-1083008,15h 14m
TAURANGA (NZL),10,https://swiftbet.com.au//racing/gallops/tauranga/race-10-1902941-1083008,15h 54m
GEELONG (VIC),1,https://swiftbet.com.au//racing/greyhounds/geelong/race-1-1903230-1083044,18h 37m
GEELONG (VIC),2,https://swiftbet.com.au//racing/greyhounds/geelong/race-2-1903231-1083044,19h 1m
GEELONG (VIC),3,https://swiftbet.com.au//racing/greyhounds/geelong/race-3-1903232-1083044,19h 20m
GEELONG (VIC),4,https://swiftbet.com.au//racing/greyhounds/geelong/race-4-1903233-1083044,19h 39m
GEELONG (VIC),5,https://swiftbet.com.au//racing/greyhounds/geelong/race-5-1903234-1083044,19h 58m
GEELONG (VIC),6,https://swiftbet.com.au//racing/greyhounds/geelong/race-6-1903235-1083044,20h 20m
GEELONG (VIC),7,https://swiftbet.com.au//racing/greyhounds/geelong/race-7-1903236-1083044,20h 42m
GEELONG (VIC),8,https://swiftbet.com.au//racing/greyhounds/geelong/race-8-1903237-1083044,21h 5m
GEELONG (VIC),9,https://swiftbet.com.au//racing/greyhounds/geelong/race-9-1903238-1083044,21h 26m
GEELONG (VIC),10,https://swiftbet.com.au//racing/greyhounds/geelong/race-10-1903239-1083044,21h 46m
GEELONG (VIC),11,https://swiftbet.com.au//racing/greyhounds/geelong/race-11-1903240-1083044,22h 9m
GEELONG (VIC),12,https://swiftbet.com.au//racing/greyhounds/geelong/race-12-1903241-1083044,22h 27m
DUBBO (NSW),1,https://swiftbet.com.au//racing/greyhounds/dubbo/race-1-1901933-1082950,18h 18m
